4A,4B,4C
80.4,80.7,84.2
69.7,78.9,76.4
84.0,68.0,78.5
85.5,76.1,78.3
62.4,75.1,72.6
67.6,76.0,84.4
79.0,81.8,77.7
75.5,76.0,81.1
77.9,80.1,84.4
71.2,74.6,84.1
85.0,76.6,85.7
84.2,79.7,80.3
78.5,60.9,78.0
87.0,71.1,80.4
81.7,69.8,69.2
71.1,68.3,70.9
81.0,71.5,71.7
70.3,87.5,74.0
85.0,66.2,83.8
77.6,82.7,74.7
76.5,58.9,78.4
72.6,71.0,90.1
87.8,75.5,78.5
76.8,79.3,86.2
74.6,80.4,74.5
75.2,81.1,79.6
82.3,70.9,74.3
80.9,69.8,78.6
81.3,81.7,86.9
81.4,72.3,68.9
95.1,62.5,84.0
74.7,63.8,82.7
73.9,65.7,76.8
71.5,78.5,70.9
82.9,75.3,81.5
87.0,80.2,77.3
77.1,70.2,82.6
71.3,75.4,81.2
71.4,79.6,92.2
83.2,71.2,79.3
