date,value
2024-01-01,51.4
2024-01-02,53.03
2024-01-03,56.43
2024-01-04,57.54
2024-01-05,58.0
2024-01-06,
2024-01-07,58.05
2024-01-08,55.94
2024-01-09,58.2
2024-01-10,56.1
2024-01-11,48.12
2024-01-12,50.23
2024-01-13,
2024-01-14,47.56
2024-01-15,42.73
2024-01-16,46.14
2024-01-17,44.11
2024-01-18,47.53
2024-01-19,46.23
2024-01-20,50.97
2024-01-21,54.12
2024-01-22,58.79
2024-01-23,62.74
2024-01-24,62.06
2024-01-25,62.52
2024-01-26,60.11
2024-01-27,58.76
2024-01-28,60.69
2024-01-29,58.71
2024-01-30,57.4
2024-01-31,55.22
2024-02-01,52.29
2024-02-02,46.76
2024-02-03,
2024-02-04,47.62
2024-02-05,46.16
2024-02-06,48.27
2024-02-07,48.05
2024-02-08,52.45
2024-02-09,57.26
2024-02-10,57.82
2024-02-11,59.29
2024-02-12,62.62
2024-02-13,65.58
2024-02-14,62.73
2024-02-15,63.36
2024-02-16,64.83
2024-02-17,60.57
2024-02-18,64.94
2024-02-19,58.42
2024-02-20,54.56
2024-02-21,52.59
2024-02-22,51.55
2024-02-23,50.32
2024-02-24,46.97
2024-02-25,54.19
2024-02-26,52.91
2024-02-27,54.84
2024-02-28,58.95
2024-02-29,57.89
